1,1,How do you insert COMMENTS in Java code?,//This is a comment,/* This is a comment*/,/** This is a comment */,All of the above,d
1,2,How do you create a variable with the floating number 2.8?,x = 2.8f;,int x = 2.8f;,float x = 2.8f;,byte x = 2.8f;,c
1,3,Array indexes start with,0,-1,10,1,a
1,4,What is the correct way to create an object called myObj of MyClass?,class MyClass = new myObj(),MyClass myObj = new MyClass(),class myObj = new MyClass(),new myObj = MyClass(),b
1,5,Which keyword is used to import a package from the Java API library?, lib, package, import, getlib,c
2,1,What is a correct syntax to output "Hello World" in Python?, print("Hello World"), echo("Hello World"), echo"Hello World", p("Hello World"),a
2,2,Which one is NOT a legal variable name?, _myvar, Myvar, my-var, my_var,d
2,3,Which method can be used to remove any whitespace from both the beginning and the end of a string?, trim(), len(), strip(), ptrim(),a
2,4,Which collection is ordered changeable and allows duplicate members?, DICTIONARY, TUPLE, SET, LIST,d
2,5,How do you start writing a for loop in Python?, for x>y:, for x in y:, for each x in y:, for x+y:,b
3,1,Which method can be used to find the length of a string?, getLength(), getSize(), length(), len(),d
3,2,Which operator can be used to compare two values?, =, ><, ==, <>,c
3,3,In C++ it is possible to inherit attributes and methods from one class to another?, False, Maybe, True, Undetermined,c
3,4,How do you create a reference variable of an existing variable?, With the REF word, With the & operator, With the ref operator, With the * operator,b
3,5,How to accept a Value from User ?, cout<<x;, cin>>x;, cin<<x;, cout>>x;,b
